generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
142000,species1,species3,0,0.0211898,-0.00107749,0.00943356,0
143000,species1,species3,0,0.00921755,0.00133648,0.0043853,0
144000,species1,species3,0,0.00741314,0.00319395,0.00301783,0
145000,species1,species3,0,0.0111877,0.00135241,0.00549774,0
146000,species1,species3,0,0.00889231,0.00166994,0.00155534,0
147000,species1,species3,0,0.0116372,0.000170889,0.00191184,0
148000,species1,species3,0,0.00994923,0.000579724,0.000588257,0
149000,species1,species3,0,0.0130009,-0.000551057,0.00121262,0
150000,species1,species3,0,0.012515,7.16565e-05,0.00353277,0
151000,species1,species3,0,0.0103102,7.16565e-05,0.00399037,0
152000,species1,species3,0,0.0255524,-0.00143568,0.0131328,0
153000,species1,species3,0,0.0196404,-0.00143568,0.00864747,0
154000,species1,species3,0,0.0307347,-0.00135785,0.0155497,0
155000,species1,species3,0,0.0245875,-0.00110667,0.00843281,0
156000,species1,species3,0,0.029599,-0.00189959,0.0124389,0
157000,species1,species3,0,0.0174339,-0.000820252,0.00691583,0
157000,species3,NA,286.31,0.0131288,-0.00445204,0.0662974,0
158000,species1,species3,0,0.0209129,-0.00110667,0.00655143,0
159000,species1,species3,0,0.0226843,-0.00189959,0.00671042,0
160000,species1,species3,0,0.0135207,-0.000422524,0.0052658,0
161000,species1,species3,0,0.00867559,0.00227568,0.00149867,0
162000,species1,species3,0,0.0182409,-0.00110667,0.00332419,0
163000,species1,species3,0,0.0133646,0.000913469,0.00607691,0
164000,species1,species3,0,0.0103816,0.00117067,0.00514356,0
165000,species1,species3,0,0.0144482,7.49351e-05,0.00290143,0
166000,species1,species3,0,0.0138411,7.49351e-05,0.00810808,0
167000,species1,species3,0,0.0187681,-0.000411942,0.00930133,0
168000,species1,species3,0,0.0180656,-0.000411942,0.0102398,0
169000,species1,species3,0,0.0190956,-0.000411942,0.010506,0
170000,species1,species3,0,0.015409,-0.000371731,0.00304335,0
171000,species1,species3,0,0.00852257,0.00103117,0.00168185,0
172000,species1,species3,0,0.0156159,-0.00075186,0.00213156,0
173000,species1,species3,0,0.0115272,0.000324092,0.00300276,0
174000,species1,species3,0,0.00870772,0.000324092,0.00326524,0
175000,species1,species3,0,0.0180003,3.55459e-05,0.00771062,0
176000,species1,species3,0,0.0125867,-0.000776558,0.00183073,0
177000,species1,species3,0,0.00755525,0.00384532,0.00343135,0
178000,species1,species3,0,0.00829763,0.00248309,0.00396005,0
179000,species1,species3,0,0.010839,0.000303901,0.00066589,0
180000,species1,species3,0,0.0181281,-0.000717877,0.00974004,0
181000,species1,species3,0,0.00726802,0.0033466,0.000548277,0
182000,species1,species3,0,0.00924468,0.00235799,0.00282887,0
183000,species1,species3,0,0.0085438,0.0016407,0.0018884,0
184000,species1,species3,0,0.0130891,0.000189244,0.00559622,0
185000,species1,species3,0,0.0188318,-0.00117454,0.00837666,0
186000,species1,species3,0,0.0126788,-0.00115177,0.00155283,0
187000,species1,species3,0,0.0149685,-0.00115177,0.00298661,0
188000,species1,species3,0,0.0168026,-0.00115177,0.00220759,0
189000,species1,species3,0,0.025967,-0.00162572,0.0107348,0
190000,species1,species3,0,0.0076477,0.00174585,0.00132994,0
191000,species1,species3,0,0.010494,0.000887138,0.00176637,0
192000,species1,species3,0,0.0110875,0.00127573,0.00495424,0
193000,species1,species3,0,0.0184015,-0.00165138,0.00625978,0
194000,species1,species3,0,0.0179226,-0.00165138,0.00454109,0
195000,species1,species3,0,0.00765456,0.00236529,0.000891191,0
196000,species1,species3,0,0.00795735,0.00373549,0.00176963,0
197000,species1,species3,0,0.0416368,-0.00321043,0.0163153,0
198000,species1,species3,0,0.0324672,-0.00112155,0.0221871,0
198000,species3,NA,234.951,0.0182129,0.00141413,0.0744778,0
199000,species1,species3,0,0.0188199,-0.00149254,0.00622037,0
200000,species1,species3,0,0.0262741,-0.00149254,0.0146292,0
